timestamp,iteration,L,min_k_eff,eps_rob
2026-03-02T20:33:46.029423,0,0.9999999998689272,47.75700685020903,0.35936100695838047
2026-03-02T20:33:46.040663,1,0.9999999997058903,47.75700685021489,0.14434904948358626
2026-03-02T20:33:46.051771,2,0.9999999996520934,47.75700685021101,0.36358519429950376
2026-03-02T20:33:46.062865,3,0.9999999999298806,47.75700685021283,0.20020235431974365
2026-03-02T20:33:46.074038,4,0.9999999997481235,47.75700685021035,0.3944746009453884
2026-03-02T20:33:46.085217,5,0.9999999997316896,47.75700685021797,0.2646474364846107
2026-03-02T20:33:46.096518,6,0.9999999999154828,47.757006850214566,0.2484849257080073
2026-03-02T20:33:46.108892,7,0.9999999994090067,47.75700685021123,0.16907588959563158
2026-03-02T20:33:46.119877,8,0.9999999999386151,47.75555692412643,0.29385709500755397
2026-03-02T20:33:46.130837,9,0.9999999996858474,47.75455823138724,0.3896136044719569
